Df	Db	S	F	R	sample	Dlow	Dhigh	Dmedium
2.84316968918	2.72529101372	3338.49511719	3063.87451172	Yes	bcc.su009.post.tcell	0.352388730094	0.197631686403	0.449979583503
3.02410268784	2.91193294525	4149.99609375	3430.00561523	No	bcc.su008.post.tcell	0.206220707286	0.314017895185	0.479761397529
2.8625793457	2.75510525703	4032.77734375	3265.94433594	Yes	bcc.su009.pre.tcell	0.319887429644	0.227954971857	0.452157598499
3.16400527954	3.10563969612	4703.39550781	3300.34814453	No	bcc.su010.post.tcell	0.0758620689655	0.51724137931	0.406896551724
2.74620318413	2.69616603851	3856.13085938	3118.7644043	No	bcc.su006.pre.tcell	0.243767313019	0.116343490305	0.639889196676
2.81965303421	2.75673246384	4772.87255859	3348.65380859	Yes	bcc.su012.pre.tcell	0.203296703297	0.17032967033	0.626373626374
2.89932394028	2.87828350067	7401.39013672	3398.07275391	No	bcc.su005.pre.tcell	0.17994100295	0.289085545723	0.530973451327
2.87461948395	2.80858659744	4425.73242188	2978.30004883	No	bcc.su008.pre.tcell	0.202229299363	0.208598726115	0.589171974522
2.73065924644	2.71523165703	5482.45703125	3152.87768555	Yes	bcc.su001.post.tcell	0.286946520989	0.142035652674	0.571017826337
2.60951733589	2.54766440392	4721.59472656	2968.54736328	No	bcc.su005.post.tcell	0.448087431694	0.0573770491803	0.494535519126
2.90930652618	2.87924909592	6282.9609375	3681.57226562	No	bcc.su007.pre.tcell	0.173913043478	0.280632411067	0.545454545455
2.85897660255	2.76660227776	5182.54638672	3593.23095703	Yes	bcc.su004.pre.tcell	0.279411764706	0.196078431373	0.524509803922
2.77080893517	2.72955465317	6212.52197266	3060.78369141	Yes	bcc.su001.pre.tcell	0.234782608696	0.165217391304	0.6
2.77119278908	2.77082920074	6254.13964844	2638.0871582	Yes	bcc.su004.post.tcell	0.24	0.19	0.57
3.12813329697	3.08455491066	6128.79589844	3259.23461914	Yes	bcc.su002.post.tcell	0.12987012987	0.506493506494	0.363636363636
2.92367887497	2.93585252762	7694.0	3599.01538086	No	bcc.su007.post	0.15873015873	0.349206349206	0.492063492063
3.07669782639	3.07757234573	7730.72509766	3542.21875	Yes	bcc.su012.post.tcell	0.0462962962963	0.324074074074	0.62962962963
2.87469673157	2.84519934654	6097.94726562	2958.02832031	Yes	bcc.su003.post.tcell.cd45	0.2	0.222222222222	0.577777777778
3.09323859215	3.16490864754	8906.65234375	3118.53222656	No	bcc.su005.pre.cd45	0.015873015873	0.714285714286	0.269841269841
2.9319062233	2.90850996971	7194.375	3761.58349609	Yes	bcc.su002.pre	0.206896551724	0.344827586207	0.448275862069
2.9896171093	2.98118495941	6524.43994141	2710.33691406	Yes	bcc.su001.pre	0.117647058824	0.372549019608	0.509803921569
3.14731383324	3.12746524811	6144.1875	3184.57177734	No	bcc.su010.pre.tcell	0.0144927536232	0.449275362319	0.536231884058
2.94324803352	2.96600985527	9400.77734375	3526.62402344	Yes	bcc.su003.pre	0.1	0.26	0.64
3.126070261	3.14727687836	7253.87890625	3368.98413086	No	bcc.su006.post.tcell	0.0137404580153	0.590839694656	0.395419847328
3.05470108986	3.12311816216	7337.60009766	3174.92089844	No	bcc.su008.pre.cd45	0	0.3125	0.6875
2.95864748955	3.09086060524	11806.5	3393.58813477	No	bcc.su006.post.cd45	0	0.363636363636	0.636363636364
2.91660261154	3.08441019058	13198.5996094	2791.61572266	No	bcc.su006.pre.cd45	0	0.555555555556	0.444444444444
3.31328344345	3.35597062111	10552.0	3277.40014648	Yes	bcc.su003.post.all	0	0.333333333333	0.666666666667
